Index,Title,Authors,Publishers,Reading status,Created date,Started date,Read date,Stopped date,Rating,Note1,Note2,Note3,Note4
1,내가 가진 것을 세상이 원하게 하라 (2024년 성장 에디션),최인아,해냄,Done,2024-08-27,2024-08-17,2024-08-24,,5,,,,
2,The Curious Incident of the Dog in the Night-Time,Mark Haddon,Vintage Books,Done,2024-08-27,2024-06-22,2024-06-26,,4,,,,
3,Quantum Computation and Quantum Information,마이클 닐슨,Cambridge Univ Pr,Reading,2024-08-27,2024-08-27,,,0,,,,
4,Quantum Information,Stephen M. Barnett,Oxford Univ Pr,Reading,2024-08-27,2024-08-27,,,0,,,,

