Index,Title,Authors,Publishers,Reading status,Created date,Started date,Read date,Stopped date,Rating,Note1,Note2,Note3,Note4
44,데미안,헤르만 헤세  김세나  원종준  안재영 ,별글,Done,2025-01-14,2025-01-14,2025-02-09,,3.5,,,,
45,하루의 가능성 - 삶은 슬프지만 우리를 슬프게 하지는 않는다,김병규 ,북스톤,Done,2025-01-22,2025-01-22,2025-01-25,,4,,,,
46,희랍어 시간 - 2024 노벨문학상 수상작가,한강 ,문학동네,Done,2025-02-01,2025-02-01,2025-02-14,,3.5,,,,
47,우리는 여전히 삶을 사랑하는가,에리히 프롬  라이너 풍크  장혜경 ,김영사,Reading,2025-02-09,2025-02-09,,,0,,,,
48,도리언 그레이의 초상,오스카 와일드  진형준 ,살림,Done,2025-02-24,2025-02-24,2025-03-01,,3,,,,
49,커다란 초록 천막 1,류드밀라 울리츠카야  승주연 ,은행나무,Done,2025-03-02,2025-03-02,2025-03-22,,3,,,,
50,미키7 - MICKEY 7,에드워드 애슈턴  배지혜 ,황금가지,Done,2025-03-02,2025-03-02,2025-03-08,,3,,,,
51,그 개와 혁명 - 2025년 제48회 이상문학상 작품집,예소연  김기태  문지혁  서장원  정기현  최민우 ,다산책방,Done,2025-03-04,2025-03-04,2025-03-10,,4,,,,
52,모비 딕 - 전면 개역판,허먼 멜빌  김석희 ,작가정신,Done,2025-03-16,2025-03-16,2025-05-02,,5,,,,
53,커다란 초록 천막 2,류드밀라 울리츠카야 ,은행나무,Done,2025-03-22,2025-03-22,2025-09-22,,3,,,,
54,나의 폴라 일지,김금희 ,한겨레출판,Done,2025-03-29,2025-03-29,2025-03-29,,3,,,,
